"","state","year","x.rfbmi5","High.2018"
"141","Pennsylvania",2011,0.645312801102796,8.07
"142","Rhode Island",2011,0.624468991878186,8.24
"143","South Carolina",2011,0.658540806580745,8.07
"144","South Dakota",2011,0.644449007332533,8.07
"145","Tennessee",2011,0.66487394755847,8.07
"146","Texas",2011,0.658491685322978,8.07
"147","Utah",2011,0.588852690536743,8.07
"148","Vermont",2011,0.597505658652002,9.07
"149","Virginia",2011,0.633305231687604,8.07
"150","Washington",2011,0.609876214649504,9.65
"151","West Virginia",2011,0.689198640083479,8.07
"152","Wisconsin",2011,0.639921392414466,8.07
"153","Wyoming",2011,0.612554539639254,8.07
"154","Alabama",2012,NA,7.91
"155","Alaska",2012,NA,8.45
"156","Arizona",2012,NA,8.34
"157","Arkansas",2012,NA,7.91
"158","California",2012,NA,8.72
"159","Colorado",2012,NA,8.33
"160","Connecticut",2012,NA,9
"161","Delaware",2012,0.659971309336792,7.91
"162","District of Columbia",2012,0.518620220768197,9
"163","Florida",2012,0.620975620076159,8.37
"164","Georgia",2012,0.64621717785782,7.91
"165","Hawaii",2012,0.56026188679687,7.91
"166","Idaho",2012,0.625161164396889,7.91
"167","Illinois",2012,0.639752185032072,9
"168","Indiana",2012,0.655316592286996,7.91
"169","Iowa",2012,0.647232709123084,7.91
"170","Kansas",2012,0.655884078762251,7.91
"171","Kentucky",2012,0.668984921884905,7.91
"172","Louisiana",2012,0.695678486007498,7.91
"173","Maine",2012,0.641804604995586,8.18
"174","Maryland",2012,0.638273967553624,7.91
"175","Massachusetts",2012,0.587599420045532,8.72
"176","Michigan",2012,0.656094777498715,8.07
"177","Minnesota",2012,0.630349071594884,7.91
"178","Mississippi",2012,0.688939115661757,7.91
"179","Missouri",2012,0.657276447330884,7.91
"180","Montana",2012,0.613274760358967,8.34
"181","Nebraska",2012,0.650113795868529,7.91
"182","Nevada",2012,0.625253120209056,9
"183","New Hampshire",2012,0.621375602190589,7.91
"184","New Jersey",2012,0.615546782313638,7.91
"185","New Mexico",2012,0.628308024486397,8.18
"186","New York",2012,0.605694872575025,7.91
"187","North Carolina",2012,0.658271530587128,7.91
"188","North Dakota",2012,0.662232934416302,7.91
"189","Ohio",2012,0.653337607624914,8.4
"190","Oklahoma",2012,0.678139002306713,7.91
"191","Oregon",2012,0.611751418671249,9.6
"192","Pennsylvania",2012,0.649335744352298,7.91
"193","Rhode Island",2012,0.62907766250159,8.07
"194","South Carolina",2012,0.661188430667063,7.91
"195","South Dakota",2012,0.660627769280008,7.91
"196","Tennessee",2012,0.653859107978327,7.91
"197","Texas",2012,0.650637198109597,7.91
"198","Utah",2012,0.577896837150452,7.91
"199","Vermont",2012,0.603118090041333,9.23
"200","Virginia",2012,0.636125129357296,7.91
"201","Washington",2012,0.622499031634509,9.86
"202","West Virginia",2012,0.683055708961189,7.91
"203","Wisconsin",2012,0.664314900251754,7.91
"204","Wyoming",2012,0.633415448529787,7.91
"205","Alabama",2013,NA,7.79
"206","Alaska",2013,NA,8.33
"207","Arizona",2013,NA,8.38
"208","Arkansas",2013,NA,7.79
"209","California",2013,NA,8.6
"210","Colorado",2013,NA,8.36
"211","Connecticut",2013,NA,8.87
"212","Delaware",2013,0.64568671734255,7.79
"213","District of Columbia",2013,0.537634112897372,8.87
"214","Florida",2013,0.627720951858025,8.37
"215","Georgia",2013,0.656939756619402,7.79
"216","Hawaii",2013,0.553539268835755,7.79
"217","Idaho",2013,0.649408912742783,7.79
"218","Illinois",2013,0.647199430935009,8.87
"219","Indiana",2013,0.672636465608738,7.79
"220","Iowa",2013,0.670080766193099,7.79
"221","Kansas",2013,0.653054378971982,7.79
"222","Kentucky",2013,0.672783699137029,7.79
"223","Louisiana",2013,0.673684958019006,7.79
"224","Maine",2013,0.648371541315733,8.06
"225","Maryland",2013,0.641467088060576,7.79
"226","Massachusetts",2013,0.580045318289921,8.6
"227","Michigan",2013,0.662215057735821,7.95
"228","Minnesota",2013,0.610742038712151,7.79
"229","Mississippi",2013,0.69273906040503,7.79
"230","Missouri",2013,0.654920745799478,7.9
"231","Montana",2013,0.613590431195531,8.38
"232","Nebraska",2013,0.654668949099136,7.79
"233","Nevada",2013,0.648667898408905,8.87
"234","New Hampshire",2013,0.617654663883104,7.79
"235","New Jersey",2013,0.627960542809189,7.79
"236","New Mexico",2013,0.626767547973627,8.06
"237","New York",2013,0.613072864617203,7.79
"238","North Carolina",2013,0.660905443950298,7.79
"239","North Dakota",2013,0.675526068749394,7.79
"240","Ohio",2013,0.650658676026724,8.44
"241","Oklahoma",2013,0.679012406156596,7.79
"242","Oregon",2013,0.598608001779182,9.62
"243","Pennsylvania",2013,0.64530595661039,7.79
"244","Rhode Island",2013,0.645629429166409,8.33
"245","South Carolina",2013,0.664719318915849,7.79
"246","South Dakota",2013,0.669750602331632,7.79
"247","Tennessee",2013,0.684217836791239,7.79
"248","Texas",2013,0.661234572000985,7.79
"249","Utah",2013,0.591647870629879,7.79
"250","Vermont",2013,0.618633877892721,9.24
"251","Virginia",2013,0.640156317625897,7.79
"252","Washington",2013,0.614218716191794,9.88
"253","West Virginia",2013,0.68785255253812,7.79
"254","Wisconsin",2013,0.664994316594251,7.79
"255","Wyoming",2013,0.644133722881488,7.79
"256","Alabama",2014,NA,7.67
"257","Alaska",2014,NA,8.2
"258","Arizona",2014,NA,8.36
"259","Arkansas",2014,NA,7.67
"260","California",2014,NA,9.52
"261","Colorado",2014,NA,8.46
"262","Connecticut",2014,NA,9.2
"263","Delaware",2014,0.674172957876773,8.2
"264","District of Columbia",2014,0.548935784356773,10.05
"265","Florida",2014,0.622135199067538,8.39
"266","Georgia",2014,0.657244656943512,7.67
"267","Hawaii",2014,0.580800460535117,7.67
"268","Idaho",2014,0.657317009140844,7.67
"269","Illinois",2014,0.638039113322283,8.73
"270","Indiana",2014,0.664629708576721,7.67
"271","Iowa",2014,0.669341618052826,7.67
"272","Kansas",2014,0.65957359841508,7.67
"273","Kentucky",2014,0.667119423806081,7.67
"274","Louisiana",2014,0.689214544783419,7.67
"275","Maine",2014,0.644523550557007,7.93
"276","Maryland",2014,0.648837982740983,7.67
"277","Massachusetts",2014,0.588730724063261,8.46
"278","Michigan",2014,0.655895703212871,8.62
"279","Minnesota",2014,0.640923891948691,8.46
"280","Mississippi",2014,0.70679320859433,7.67
"281","Missouri",2014,0.655727653506354,7.93
"282","Montana",2014,0.629922242907029,8.36
"283","Nebraska",2014,0.6669473841015,7.67
"284","Nevada",2014,0.635381960482804,8.73
