"","state","year","at_least_hs_grad","High.2018"
"167","Illinois",2012,87,9
"168","Indiana",2012,87,7.91
"169","Iowa",2012,90.7,7.91
"170","Kansas",2012,89.7,7.91
"171","Kentucky",2012,82.4,7.91
"172","Louisiana",2012,82.2,7.91
"173","Maine",2012,90.6,8.18
"174","Maryland",2012,88.5,7.91
"175","Massachusetts",2012,89.1,8.72
"176","Michigan",2012,88.7,8.07
"177","Minnesota",2012,91.9,7.91
"178","Mississippi",2012,81,7.91
"179","Missouri",2012,87.2,7.91
"180","Montana",2012,91.9,8.34
"181","Nebraska",2012,90.4,7.91
"182","Nevada",2012,84.4,9
"183","New Hampshire",2012,91.4,7.91
"184","New Jersey",2012,87.9,7.91
"185","New Mexico",2012,83.4,8.18
"186","New York",2012,84.9,7.91
"187","North Carolina",2012,84.5,7.91
"188","North Dakota",2012,90.5,7.91
"189","Ohio",2012,88.2,8.4
"190","Oklahoma",2012,86.2,7.91
"191","Oregon",2012,89.2,9.6
"192","Pennsylvania",2012,88.3,7.91
"193","Rhode Island",2012,84.8,8.07
"194","South Carolina",2012,84,7.91
"195","South Dakota",2012,90.1,7.91
"196","Tennessee",2012,83.9,7.91
"197","Texas",2012,80.8,7.91
"198","Utah",2012,90.6,7.91
"199","Vermont",2012,91.3,9.23
"200","Virginia",2012,86.9,7.91
"201","Washington",2012,90,9.86
"202","West Virginia",2012,83.4,7.91
"203","Wisconsin",2012,90.2,7.91
"204","Wyoming",2012,92.1,7.91
"205","Alabama",2013,83.1,7.79
"206","Alaska",2013,91.6,8.33
"207","Arizona",2013,85.7,8.38
"208","Arkansas",2013,83.7,7.79
"209","California",2013,81.2,8.6
"210","Colorado",2013,90.2,8.36
"211","Connecticut",2013,89.2,8.87
"212","Delaware",2013,87.7,7.79
"213","District of Columbia",2013,88.4,8.87
"214","Florida",2013,86.1,8.37
"215","Georgia",2013,84.7,7.79
"216","Hawaii",2013,90.4,7.79
"217","Idaho",2013,88.8,7.79
"218","Illinois",2013,87.3,8.87
"219","Indiana",2013,87.2,7.79
"220","Iowa",2013,91,7.79
"221","Kansas",2013,89.8,7.79
"222","Kentucky",2013,83,7.79
