GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC36,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC42,HC01_EST_VC43,HC01_EST_VC44,HC01_EST_VC45,HC01_EST_VC46,HC01_EST_VC47
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree
0400000US01,01,Alabama,3193338,5.7,11.2,31.1,22.0,7.4,14.4,8.3,83.1,22.6,30.1,15.5,11.8,4.1,31762,18641,25851,31138,46556,56668
0400000US02,02,Alaska,454301,3.0,5.3,27.3,28.8,8.0,17.7,9.8,91.6,27.5,17.6,10.9,6.5,2.7,42184,23249,32196,41059,52590,70120
0400000US04,04,Arizona,4211194,6.4,7.9,24.5,26.0,8.3,17.0,9.9,85.7,26.9,31.1,16.1,10.9,5.1,34083,19110,26591,33740,48461,60652
0400000US05,05,Arkansas,1936554,6.1,10.2,35.1,22.4,6.1,13.3,6.8,83.7,20.1,28.4,15.9,12.5,4.3,30099,19793,25236,29421,43727,56434
0400000US06,06,California,24455010,10.2,8.5,20.7,22.1,7.8,19.4,11.2,81.2,30.7,25.4,15.0,10.4,5.1,37194,19122,27952,36901,55262,78746
0400000US08,08,Colorado,3388783,4.1,5.7,22.1,22.8,8.2,23.6,13.4,90.2,37.0,26.2,12.7,9.2,4.4,37898,21047,29691,34718,48120,63105
0400000US09,09,Connecticut,2443761,4.5,6.4,27.8,17.7,7.3,20.4,16.1,89.2,36.5,22.9,10.3,7.4,3.1,44592,22270,33524,40152,59515,77705
0400000US10,10,Delaware,611728,4.2,8.1,31.7,19.9,7.3,17.2,11.7,87.7,28.9,22.6,10.1,7.2,3.2,38795,21123,30655,37584,50850,68150
0400000US11,11,District of Columbia,430307,4.4,7.2,18.8,14.2,3.0,22.7,29.7,88.4,52.4,33.6,24.5,16.1,5.3,53660,22471,30179,37914,61334,82921
