GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC44,HC01_EST_VC45,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Estimate; Less than 9th grade,"Total; Estimate; 9th to 12th grade, no diploma",Total; Estimate; High school graduate (includes equivalency),"Total; Estimate; Some college, no degree",Total; Estimate; Associate's degree,Total; Estimate; Bachelor's degree,Total; Estimate; Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Graduate or professional degree
0400000US01,01,Alabama,3138078,6.1,12.0,31.4,21.5,7.0,14.0,8.0,81.9,22.0,28.6,14.6,10.4,3.6,31410,18578,25696,31003,45631,55551
0400000US02,02,Alaska,438805,3.2,5.4,27.2,28.9,8.0,17.7,9.5,91.4,27.2,16.9,10.6,5.9,2.5,40770,20890,32063,40292,50825,66806
0400000US04,04,Arizona,4087214,6.6,8.2,24.7,26.0,8.1,16.8,9.6,85.2,26.4,28.7,14.1,9.5,4.5,34422,19825,27227,34275,48268,60889
0400000US05,05,Arkansas,1904692,6.7,10.7,35.2,21.9,5.9,13.0,6.6,82.7,19.6,27.6,14.8,11.6,3.8,29117,19258,24534,28957,42141,55538
0400000US06,06,California,23797844,10.4,8.8,21.1,21.8,7.7,19.3,11.0,80.8,30.2,23.3,13.3,8.9,4.5,37482,19323,29073,37621,55210,77294
0400000US08,08,Colorado,3265425,4.3,6.1,22.9,22.5,7.9,23.3,13.0,89.7,36.3,25.6,11.7,8.4,4.1,37417,20350,29672,34971,47679,62236
0400000US09,09,Connecticut,2413922,4.6,6.8,28.1,17.4,7.3,20.1,15.6,88.6,35.7,21.7,9.0,6.4,2.8,44176,22750,33878,40631,58822,76284
0400000US10,10,Delaware,595938,4.2,8.5,31.7,20.3,7.4,16.7,11.3,87.4,28.0,20.6,9.7,6.3,3.0,38476,21567,30999,37353,51121,67759
0400000US11,11,District of Columbia,407576,5.0,7.9,19.5,14.2,2.9,22.4,28.1,87.1,50.5,32.0,22.9,15.3,4.9,51623,22106,30579,38413,60955,83152
0400000US12,12,Florida,12949216,5.7,8.8,30.1,20.9,8.6,16.8,9.2,85.5,26.0,25.3,13.7,9.2,5.0,31640,18530,25692,31793,43706,58553
0400000US13,13,Georgia,6152481,5.9,10.1,29.4,20.5,6.6,17.7,9.8,84.0,27.5,29.3,14.7,9.6,4.1,33709,18785,26716,32485,49673,62546
0400000US15,15,Hawaii,915429,4.7,5.2,28.7,22.1,9.8,19.6,9.9,90.1,29.5,17.1,9.9,7.8,4.5,36694,21848,30161,35744,45904,60669
0400000US16,16,Idaho,970727,4.4,7.2,28.4,26.9,8.6,16.9,7.6,88.5,24.6,22.5,12.2,9.4,4.8,29963,19370,25247,28281,40412,57081
0400000US17,17,Illinois,8405202,5.8,7.5,27.6,21.1,7.3,19.1,11.6,86.6,30.7,22.9,11.7,8.7,3.8,37387,21095,28508,35017,51220,66877
0400000US18,18,Indiana,4199481,4.2,9.1,35.8,20.6,7.5,14.6,8.1,86.6,22.7,23.8,10.8,8.7,3.4,32961,19837,27830,32505,44878,59739
0400000US19,19,Iowa,1999820,3.9,5.8,33.8,21.7,10.0,17.2,7.7,90.3,24.9,21.1,9.2,7.8,3.0,33050,20752,27385,32032,43144,56896
0400000US20,20,Kansas,1822400,4.2,6.3,28.4,24.0,7.4,19.5,10.2,89.5,29.7,23.6,11.0,8.0,3.3,33557,20923,26583,31437,44068,56420
0400000US21,21,Kentucky,2881383,7.9,10.4,34.3,20.1,6.7,12.3,8.4,81.7,20.6,31.4,14.3,10.8,3.7,31094,17991,25902,31006,43007,52906
0400000US22,22,Louisiana,2899261,6.7,11.7,34.6,21.0,4.9,14.2,7.0,81.6,21.1,29.0,14.7,10.5,4.3,32417,19277,27017,31723,45418,55051
0400000US23,23,Maine,934144,3.6,6.1,34.5,19.7,9.0,17.4,9.7,90.2,27.1,25.5,12.4,8.6,3.9,31707,20168,26141,31027,41007,52606
0400000US24,24,Maryland,3828550,4.5,7.4,26.2,19.6,6.3,19.9,16.1,88.2,36.1,19.1,9.2,6.0,2.7,45478,23304,33280,42308,57843,78950
0400000US25,25,Massachusetts,4419291,4.9,6.2,26.3,16.2,7.6,22.1,16.6,88.9,38.7,23.8,10.4,7.7,3.7,43179,22798,32347,38756,54627,70303
0400000US26,26,Michigan,6566864,3.5,8.1,31.1,23.8,8.2,15.6,9.7,88.4,25.3,26.9,13.7,10.5,3.9,33587,17741,25848,31823,48343,67157
0400000US27,27,Minnesota,3490475,3.5,5.0,27.5,22.5,9.8,21.5,10.3,91.6,31.8,24.8,10.2,7.2,2.9,37890,20621,29520,35605,50077,65327
0400000US28,28,Mississippi,1892687,6.9,12.8,30.6,22.3,7.8,12.6,7.0,80.3,19.7,32.7,17.6,12.6,4.7,29252,17927,24691,29312,40347,51459
0400000US29,29,Missouri,3943728,4.4,8.8,32.1,22.5,6.7,16.0,9.4,86.8,25.4,25.3,12.0,9.2,3.8,32394,18870,26545,31660,43487,54914
0400000US30,30,Montana,663484,2.6,5.9,30.8,24.5,8.0,19.4,8.8,91.4,28.2,24.0,12.7,10.4,4.9,29055,17869,24337,27442,36114,48193
0400000US31,31,Nebraska,1173189,4.0,5.7,29.2,24.1,9.2,18.9,8.9,90.3,27.8,21.7,10.0,8.0,3.1,32475,21408,26562,31135,42325,55061
0400000US32,32,Nevada,1764861,6.4,9.4,29.2,25.6,7.2,14.7,7.5,84.2,22.2,19.7,10.6,8.4,4.7,34699,24378,30592,36453,45808,64233
0400000US33,33,New Hampshire,901420,2.9,5.9,29.5,19.1,9.5,21.0,12.1,91.2,33.1,16.5,8.0,6.1,2.5,39696,24864,31932,36805,50285,64581
0400000US34,34,New Jersey,5926262,5.5,6.8,29.6,16.9,6.2,21.8,13.1,87.6,35.0,19.6,9.2,6.3,2.9,44976,22271,33088,41378,60200,82979
0400000US35,35,New Mexico,1316741,7.7,9.3,26.7,23.6,7.3,14.7,10.8,83.1,25.4,31.7,16.3,11.8,5.2,30702,17734,25383,30197,42447,54792
0400000US36,36,New York,12999473,7.0,8.4,27.8,16.1,8.2,18.5,14.0,84.6,32.5,27.0,13.2,9.3,4.7,39266,20048,29811,36854,52757,68533
0400000US37,37,North Carolina,6229136,6.0,9.9,27.7,21.4,8.5,17.7,8.9,84.1,26.5,28.3,13.9,10.0,3.6,31908,18017,26106,31253,44651,58392
0400000US38,38,North Dakota,435706,5.2,4.8,27.4,23.7,12.3,19.6,6.9,90.0,26.5,22.0,10.4,7.6,3.4,32617,20338,26874,31559,39877,53539
0400000US39,39,Ohio,7688501,3.4,8.8,35.4,20.5,7.5,15.5,9.0,87.8,24.5,25.9,11.9,9.9,3.7,33746,18808,27353,32477,47409,62407
0400000US40,40,Oklahoma,2411080,4.7,9.4,32.1,24.0,6.8,15.5,7.6,85.9,23.0,26.2,14.2,10.2,3.9,31093,18874,25548,30582,41861,52344
0400000US41,41,Oregon,2579164,4.2,7.0,25.2,26.6,8.1,18.4,10.6,88.9,29.0,24.3,13.5,10.8,5.3,32121,19410,26257,31111,43258,55893
0400000US42,42,Pennsylvania,8611136,3.9,8.2,37.6,16.3,7.4,16.5,10.2,87.9,26.7,23.1,10.7,8.0,3.4,35592,20644,28425,34532,48563,65047
0400000US44,44,Rhode Island,708587,6.8,9.0,27.7,18.1,7.9,18.6,12.0,84.3,30.6,22.9,11.2,7.5,3.7,38792,22753,30761,36587,51481,67906
0400000US45,45,South Carolina,3031432,5.8,10.6,30.9,20.1,8.4,15.6,8.6,83.6,24.2,29.9,14.9,9.6,3.6,31363,18374,25816,31258,42869,53887
0400000US46,46,South Dakota,525090,4.6,5.6,32.1,22.1,9.7,18.2,7.6,89.8,25.8,26.4,11.0,8.7,4.2,30940,20472,26058,30055,38382,50491
0400000US47,47,Tennessee,4205976,6.5,10.3,33.3,20.8,6.0,14.9,8.1,83.2,23.0,28.9,14.5,9.7,3.7,31279,18186,25540,31498,43804,55246
0400000US48,48,Texas,15443904,9.8,9.8,25.7,22.3,6.4,17.4,8.6,80.4,26.1,28.2,14.0,8.9,3.8,33521,18561,26652,33865,50709,64413
