State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,
Iowa,8.6,8.5,6.7,8.7,19,20.1,25,30.3,35,38.8,42.8,57.8,50.3,55.9,60.4,74.4,78.7,89.8,101.6,117.7,129,134.5,121.8,125.2,145.5,156.1,178.8,181.1,199.5,209.2,240.1,235.4,218,244.8,243,277.8,205.9,232,233.3,214.7,205.1,205.1,217.2,210.7,220.6,224.5,210.8,222,212.8,211.3,205.2,,,,
Kansas,31.6,30.2,35.5,44,73.2,71.2,69.9,86,85.8,93.5,108.5,127.8,119.1,115.3,141.9,162.8,170.4,180.5,193.8,219.4,237.8,222.6,218.4,211,231.5,242.7,251.9,241.6,244.6,259.1,285.7,310.3,333.7,326.3,279.9,269.8,268.3,280.8,280.9,259.5,269,275.7,256.3,270.6,265.4,280.4,314,335.6,304.6,296.9,273.5,,,,
Kentucky,52.3,48,47.5,45.3,61,60.4,73.5,77.2,85.4,86.7,124.7,131.9,117.1,109.1,113.7,135.3,135.1,123.3,112.1,126.1,143.5,159.5,188,203.3,178.4,201.3,222.2,219.1,227.3,248.3,285.2,312.7,410.4,331.4,308.4,222,189.2,187,205.7,195.8,182.2,147.7,163.6,138.5,130.6,139.8,143.3,157.7,162.8,130.8,120.3,,,,
Louisiana,90.8,76.9,84.7,114.2,133.2,132.6,147.9,167.2,198.4,226,237.8,243.2,252.8,249.3,275.1,289,308.5,335.5,360.7,401.4,407.8,379.2,400.6,396.8,432.8,453.3,481.6,467,458.3,491.4,569.2,614.3,653.4,715.4,650.3,679,593.5,559.7,531.9,515.2,466.6,467.7,456.7,432.4,445.8,436.6,533,545.5,489.2,464.1,400.7,,,,
Maine,15.3,17.4,15.7,19,34.3,33.5,36.4,47.8,46.2,56,68.1,66.3,76.9,91.7,98.1,169.8,169.4,170,161,155.9,146.8,147.1,117,113.5,117,126.4,102.3,108.3,110,91.2,96,86.3,82,76.3,79.6,81.1,78.5,77.6,84.6,71.6,63.9,64.3,56.8,58.3,56.4,61.8,59.5,61,63,59.2,60,,,,
Maryland,101.3,101.1,97.6,92.6,140.7,181.5,164.9,234.5,312,311.7,253.3,259.9,288.6,300.4,316.9,323.4,297.4,358.9,378.6,415.2,410.1,414,441.9,418.4,445.3,485.8,476.4,428.3,458.7,473.7,497.9,491.5,512.6,506.4,493.3,509.7,488.8,464.4,454.5,440.8,493.3,495.1,490.1,428,437.9,414.6,392,375.1,365.1,351.3,326.7,,,,
Massachusetts,22.1,25.7,29.5,32.7,46.8,50.7,60.5,65.2,76.7,82.9,87.9,109.6,125.2,149.3,156.3,192.2,198,231.6,263.3,299.6,334.4,326.7,328.5,338.9,317.4,316.5,330.9,352.5,407.8,436.3,481.4,505.2,555,592,505.7,504.2,482.9,506.2,495.2,426,355.9,345.4,342.9,317.4,312.8,309,344.5,304.4,325.4,320.4,333.2,,,,
Michigan,105,108.6,112.5,105.7,124.9,137,143.8,167.3,178.2,196.3,192.7,207.3,225.6,255.2,272,282.7,266.1,274.6,307.7,341.1,338.6,327.6,329.7,365.3,378.9,362.9,423.9,424.2,420.3,404.7,468.4,470.3,458.6,472.1,456.7,430.1,394.6,377.5,407.3,375.7,359.7,365.3,362.6,339.3,319.4,363.9,363.4,349,331.9,323.5,322.5,,,,
Minnesota,10.6,12.3,14.1,19,31.5,39.5,44.4,54.7,45.9,47.1,51.2,62.9,72.9,71.5,82.5,81.4,87.9,85.8,82.6,104.8,102.9,96.3,92.9,87.2,113.3,138.9,148.3,146.3,161.4,159.6,176.7,175.3,184.1,175.8,178.6,172.2,169.7,168.1,165.2,146.5,156.7,141.1,141.4,142,146.1,158.9,170.9,159.6,148.6,140.4,136.2,,,,
Mississippi,72.6,70.9,73,57.9,137.9,139.9,119.6,89,114.3,110.1,139.8,212,240,259.1,256.5,230.9,202.5,189.1,216.6,218.6,221.7,184.6,181.1,181.6,184.3,171.1,172.4,173.3,203.3,184.4,198,213.7,230.4,238.4,270.5,319.9,306.8,279.9,238.6,188.2,221.1,184.7,178.3,172.6,161.2,150.1,156.2,149.8,158.9,145.6,137.6,,,,
