"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year"
"287",287,"0400000US35",35,"New Mexico",7.1,8.9,26.3,23.9,7.7,14.8,11.3,84,26.1,33.9,18.7,14.5,6.2,"NM",2014
"288",288,"0400000US36",36,"New York",6.8,7.9,26.9,16.3,8.5,19.1,14.6,85.4,33.7,28.8,14.9,10.6,5.2,"NY",2014
"289",289,"0400000US37",37,"North Carolina",5.5,9.1,26.9,21.9,8.8,18.2,9.5,85.4,27.8,31,15.6,11.7,4.3,"NC",2014
"290",290,"0400000US38",38,"North Dakota",4.1,4.5,27.4,23.6,13,19.6,7.7,91.3,27.3,21.4,10.4,7.6,3.5,"ND",2014
"291",291,"0400000US39",39,"Ohio",3.2,8,34.5,20.7,8.1,16.1,9.5,88.8,25.6,28.8,13.2,11.3,4,"OH",2014
"292",292,"0400000US40",40,"Oklahoma",4.5,8.8,31.7,24,7.1,15.9,7.9,86.7,23.8,27.4,15.1,11.3,4.3,"OK",2014
"293",293,"0400000US41",41,"Oregon",4.1,6.5,24.5,26.6,8.2,18.9,11.2,89.5,30.1,27.5,15.6,13.1,6.1,"OR",2014
"294",294,"0400000US42",42,"Pennsylvania",3.6,7.4,36.8,16.4,7.7,17.1,11,89,28.1,25.1,11.9,9.2,3.9,"PA",2014
"295",295,"0400000US44",44,"Rhode Island",6.3,8.3,27.4,18.4,8.3,18.8,12.6,85.4,31.4,24.4,13.2,9.7,3.9,"RI",2014
"296",296,"0400000US45",45,"South Carolina",5.2,9.8,30,21,8.7,16.2,9.2,85,25.3,31.4,16.4,11.3,4.3,"SC",2014
"297",297,"0400000US46",46,"South Dakota",4.1,5.2,31.5,22,10.5,18.7,8,90.7,26.7,26.5,11.9,9.6,4.5,"SD",2014
"298",298,"0400000US47",47,"Tennessee",5.9,9.2,33.1,21,6.5,15.6,8.8,84.9,24.4,30.2,15.9,11.1,4.2,"TN",2014
"299",299,"0400000US48",48,"Texas",9.3,9.2,25.2,22.7,6.6,17.9,9.1,81.6,27.1,29.4,15,10,4.2,"TX",2014
"300",300,"0400000US49",49,"Utah",3,6,23.3,27.6,9.5,20.5,10.2,91,30.6,24.1,11.3,8.8,4.6,"UT",2014
"301",301,"0400000US50",50,"Vermont",2.9,5.5,30.6,17.5,8.4,21.2,14,91.6,35.2,24.1,11.3,9.2,4.3,"VT",2014
"302",302,"0400000US51",51,"Virginia",4.9,7.2,25,20,7.1,20.7,15,87.9,35.8,22.6,11.6,7.9,3.2,"VA",2014
"303",303,"0400000US53",53,"Washington",4.1,5.8,23.3,24.9,9.7,20.6,11.7,90.2,32.3,26.1,13,10.1,4.3,"WA",2014
"304",304,"0400000US54",54,"West Virginia",5.5,10,40.9,18.4,6.4,11.6,7.2,84.4,18.7,29.7,14.7,12,4.6,"WV",2014
"305",305,"0400000US55",55,"Wisconsin",3.2,6,32.4,21.1,9.9,18.1,9.3,90.8,27.4,24.5,11,8.9,3.6,"WI",2014
"306",306,"0400000US56",56,"Wyoming",2.1,5.6,29.4,27.4,10.4,16.8,8.3,92.3,25.1,19.9,10.2,7.4,4.1,"WY",2014
"307",307,"0400000US01",1,"Alabama",5.2,10.6,31,22,7.8,14.8,8.7,84.3,23.5,30.9,16.4,12.3,4.4,"AL",2015
"308",308,"0400000US02",2,"Alaska",2.9,5,27.8,28.2,8.1,17.9,10.1,92.1,28,19,11.7,6.3,2.7,"AK",2015
"309",309,"0400000US04",4,"Arizona",6.2,7.7,24.4,25.7,8.5,17.3,10.2,86,27.5,32.1,17,11.2,5.4,"AZ",2015
"310",310,"0400000US05",5,"Arkansas",5.7,9.6,34.9,22.5,6.3,13.6,7.5,84.8,21.1,29.4,16.4,12.9,4.4,"AR",2015
"311",311,"0400000US06",6,"California",10,8.2,20.7,21.8,7.8,19.8,11.6,81.8,31.4,26,15.7,11,5.3,"CA",2015
"312",312,"0400000US08",8,"Colorado",3.9,5.4,21.8,22.5,8.3,24.1,14,90.7,38.1,24.9,12.3,9.2,4.5,"CO",2015
"313",313,"0400000US09",9,"Connecticut",4.3,5.9,27.4,17.5,7.4,21,16.6,89.9,37.6,24,10.9,7.9,3.3,"CT",2015
"314",314,"0400000US10",10,"Delaware",4,7.7,31.1,19.7,7.5,17.8,12.2,88.4,30,23,11.3,7.8,3.4,"DE",2015
"315",315,"0400000US11",11,"District of Columbia",4.3,6.4,18,13.7,3.1,23.3,31.3,89.3,54.6,35,23.9,16.9,5.1,"DC",2015
"316",316,"0400000US12",12,"Florida",5.3,7.8,29.5,20.7,9.4,17.5,9.8,86.9,27.3,28.3,16.1,11.2,5.9,"FL",2015
"317",317,"0400000US13",13,"Georgia",5.4,9.2,28.4,21,7.2,18.1,10.7,85.4,28.8,31.1,17.2,12.1,5,"GA",2015
"318",318,"0400000US15",15,"Hawaii",4.1,4.9,27.9,22,10.3,20.4,10.5,91,30.8,19,12.3,8.6,4.8,"HI",2015
"319",319,"0400000US16",16,"Idaho",4.1,6.4,27.5,26.9,9.2,17.7,8.2,89.5,25.9,23.8,14.1,11,5.5,"ID",2015
"320",320,"0400000US17",17,"Illinois",5.4,6.6,26.8,21.1,7.7,19.9,12.4,87.9,32.3,24.7,13.8,10.2,4.5,"IL",2015
