"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year","x.rfbmi5","se"
"11",11,"0400000US13",13,"Georgia",6.2,10.8,29.7,19.7,6.4,17.5,9.6,82.9,27.1,27.2,13.1,8.2,3.5,"GA",2009,0.65326440039358,0.0103398059933489
"12",12,"0400000US15",15,"Hawaii",5,5.6,29.3,21.2,9.8,19.5,9.7,89.5,29.2,15.9,9.3,7.1,4.4,"HI",2009,0.578446271353792,0.00886493285491527
"13",13,"0400000US16",16,"Idaho",4.5,7.8,29.3,26.3,8.4,16.4,7.4,87.7,23.7,21.9,11.4,8.6,4.1,"ID",2009,0.61336240469163,0.0102685792349848
"14",14,"0400000US17",17,"Illinois",6.3,8,28.1,20.6,7.2,18.6,11.2,85.7,29.8,22,11,7.8,3.6,"IL",2009,0.644579887748185,0.00904111234265792
"15",15,"0400000US18",18,"Indiana",4.4,9.8,36.5,20.1,7.2,14,7.9,85.7,21.9,22.3,10,7.7,3.2,"IN",2009,0.651516451619885,0.00815200919489825
"16",16,"0400000US19",19,"Iowa",4.1,6.3,34.9,21.1,9.5,16.8,7.4,89.6,24.2,20.3,8.7,6.9,2.9,"IA",2009,0.671939225476965,0.00881990444824171
"17",17,"0400000US20",20,"Kansas",4.2,6.8,29.5,23.5,7.2,19,9.8,89,28.8,22.8,10.3,7.3,3,"KS",2009,0.646152583399366,0.00517306926797367
"18",18,"0400000US21",21,"Kentucky",8.5,11.2,34.5,19.2,6.5,11.9,8.1,80.3,20,30.5,13.9,9.6,3.4,"KY",2009,0.670669435904743,0.00918808486277378
"19",19,"0400000US22",22,"Louisiana",7.1,12.4,34.9,20.3,4.6,13.8,6.8,80.5,20.6,29.3,14.4,9.7,3.8,"LA",2009,0.676072071970032,0.00759230288759319
"20",20,"0400000US23",23,"Maine",4,6.7,35.5,18.8,8.9,17.1,9,89.4,26.1,25,11.7,8.4,3.8,"ME",2009,0.642016047943582,0.00750249049084254
"21",21,"0400000US24",24,"Maryland",4.3,8.2,26.8,19.3,6.3,19.6,15.6,87.5,35.2,18.2,8.3,5.2,2.4,"MD",2009,0.629085050889645,0.00822611644953875
"22",22,"0400000US25",25,"Massachusetts",4.9,6.7,27.2,15.8,7.6,21.7,16.1,88.4,37.8,22.2,10.2,7.1,3.7,"MA",2009,0.574934833580343,0.00722428855037891
"23",23,"0400000US26",26,"Michigan",3.7,8.9,31.8,23.1,8,15.2,9.3,87.4,24.5,25.1,12.7,9.1,3.5,"MI",2009,0.655673008727347,0.00762188240305628
