GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC36,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC42,HC01_EST_VC43,HC01_EST_VC44,HC01_EST_VC45,HC01_EST_VC46,HC01_EST_VC47
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree
0400000US01,01,Alabama,3217902,5.4,10.9,31.1,22.0,7.6,14.5,8.6,83.7,23.1,30.8,16.1,12.2,4.3,32100,18944,25981,31222,46739,56598
0400000US02,02,Alaska,460319,3.0,5.2,27.5,28.4,8.2,17.9,9.8,91.8,27.7,19.2,11.5,6.2,2.7,43194,24523,33872,41893,53579,72078
0400000US04,04,Arizona,4284776,6.3,7.8,24.5,25.9,8.4,17.1,10.0,85.9,27.1,31.8,16.7,11.3,5.3,34330,19087,26753,33872,48210,60882
0400000US05,05,Arkansas,1949963,5.8,9.9,35.0,22.4,6.2,13.5,7.1,84.3,20.6,28.4,16.2,12.6,4.4,30512,20285,25509,29637,44181,57075
0400000US06,06,California,24865866,10.1,8.4,20.7,22.0,7.8,19.6,11.4,81.5,31.0,26.1,15.7,10.9,5.3,37170,19270,27984,36665,55734,79293
0400000US08,08,Colorado,3453403,4.0,5.6,22.0,22.7,8.2,23.7,13.7,90.4,37.5,25.5,12.8,9.4,4.5,38418,21698,29867,35042,48544,63991
0400000US09,09,Connecticut,2455577,4.3,6.1,27.6,17.6,7.3,20.6,16.4,89.5,37.0,23.3,11.0,7.7,3.3,44948,22479,33651,40246,60327,77808
0400000US10,10,Delaware,620886,4.1,7.9,31.5,19.7,7.3,17.5,11.9,88.0,29.4,23.0,10.7,7.6,3.4,39364,21742,31248,37762,50797,67632
0400000US11,11,District of Columbia,442721,4.3,6.8,18.6,13.7,3.1,23.3,30.1,88.9,53.4,34.3,23.5,16.3,5.3,55010,23338,30644,38305,61971,84598
0400000US12,12,Florida,13561596,5.4,8.1,29.7,20.9,9.2,17.1,9.6,86.5,26.8,28.4,16.1,11.1,5.9,31527,18318,25335,31255,43815,59068
0400000US13,13,Georgia,6410416,5.6,9.4,28.6,21.1,7.0,17.9,10.4,85.0,28.3,31.3,17.2,12.0,4.9,33775,19027,26319,31940,50145,62234
0400000US15,15,Hawaii,950863,4.3,5.0,28.1,22.2,9.9,20.2,10.3,90.7,30.5,19.0,12.0,8.7,4.7,37414,22247,30613,36020,46796,61965
0400000US16,16,Idaho,1015487,4.2,6.6,27.7,27.0,9.0,17.4,8.0,89.1,25.4,24.4,13.7,10.7,5.7,30293,20507,25079,28248,40487,58112
0400000US17,17,Illinois,8560555,5.5,6.9,27.0,21.2,7.5,19.7,12.2,87.6,31.9,24.9,13.5,10.2,4.5,38158,21252,28662,34727,51983,69313
