GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC29,HC01_EST_VC30,HC01_EST_VC31,HC01_EST_VC32,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree,Total; Estimate; Population 25 years and over - Percent high school graduate or higher,Total; Estimate; Population 25 years and over - Percent bachelor's degree or higher,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree
0400000US01,01,Alabama,3049663,6.4,12.7,31.8,20.7,6.7,13.7,7.8,80.8,21.5,28.0,13.9,9.1,3.3,30427,17954,24767,30161,43938,53498
0400000US02,02,Alaska,419058,3.5,5.8,28.5,27.8,7.9,17.1,9.5,90.7,26.5,16.3,11.1,5.8,2.6,38029,19780,30820,37647,47283,62905
0400000US04,04,Arizona,4062351,7.2,8.9,25.6,24.8,7.8,16.4,9.3,83.9,25.7,25.1,12.7,8.4,4.2,33111,19835,27071,33512,46158,57503
0400000US05,05,Arkansas,1865765,7.2,11.4,35.4,21.4,5.6,12.6,6.3,81.3,18.9,27.3,14.0,10.7,3.8,27720,18215,23813,28024,40869,51588
0400000US06,06,California,23219217,10.4,9.1,21.9,21.2,7.6,19.1,10.7,80.5,29.7,21.3,11.9,7.8,4.2,36990,19248,28815,37504,53683,74216
0400000US08,08,Colorado,3155677,4.5,6.7,23.7,22.1,7.6,22.9,12.6,88.9,35.5,24.6,10.8,7.8,3.6,36201,20276,28928,34169,46261,59707
0400000US09,09,Connecticut,2344192,4.7,7.1,28.8,17.1,7.3,19.9,15.2,88.2,35.1,20.2,8.1,5.7,2.6,43027,23235,33167,39885,56500,72705
0400000US10,10,Delaware,577088,4.3,9.1,32.2,19.4,7.3,16.6,10.9,86.5,27.5,19.5,9.4,5.7,2.8,37301,21160,30457,36527,49319,63435
0400000US11,11,District of Columbia,404543,5.6,8.9,20.7,14.4,3.2,20.8,26.4,85.5,47.1,32.0,21.5,14.6,4.7,46488,20740,28383,36616,56014,80036
