"","x.state","x.rfbmi5","se","Year"
"1",1,0.677212578652077,0.00769978538518561,"2012"
"2",2,0.647713680199571,0.0107900961486526,"2012"
"3",4,0.620280373952233,0.00965277136733235,"2012"
"4",5,0.68720921818483,0.00907699542948422,"2012"
"5",6,0.603077364027833,0.00617552338690234,"2012"
"6",8,0.556922252578129,0.00624649975751733,"2012"
"7",9,0.622785200391356,0.00769724156831291,"2012"
"8",10,0.659971309336792,0.00931223266555842,"2012"
"9",11,0.518620220768197,0.0137628313865621,"2012"
"10",12,0.620975620076159,0.00900724564598999,"2012"
"11",13,0.64621717785782,0.00906427002910803,"2012"
"12",15,0.56026188679687,0.00886758865703719,"2012"
"13",16,0.625161164396889,0.0116723801056155,"2012"
"14",17,0.639752185032072,0.00959190864764091,"2012"
"15",18,0.655316592286996,0.00713712878598411,"2012"
"16",19,0.647232709123084,0.00763912405082529,"2012"
"17",20,0.655884078762251,0.00611603159004196,"2012"
"18",21,0.668984921884905,0.00729844961839228,"2012"
"19",22,0.695678486007498,0.00827849891313007,"2012"
"20",23,0.641804604995586,0.00627832804713181,"2012"
"21",24,0.638273967553624,0.00775935044282121,"2012"
"22",25,0.587599420045532,0.0054885261989639,"2012"
"23",26,0.656094777498715,0.00666006032880815,"2012"
"24",27,0.630349071594884,0.00615348752074359,"2012"
"25",28,0.688939115661757,0.00814602314107865,"2012"
"26",29,0.657276447330884,0.00886498717774339,"2012"
"27",30,0.613274760358967,0.00710476852663118,"2012"
"28",31,0.650113795868529,0.00514999648970905,"2012"
"29",32,0.625253120209056,0.0105725647208568,"2012"
"30",33,0.621375602190589,0.00852457408159945,"2012"
"31",34,0.615546782313638,0.00609794900217494,"2012"
"32",35,0.628308024486397,0.00682712213345542,"2012"
"33",36,0.605694872575025,0.00915528742005443,"2012"
"34",37,0.658271530587128,0.00606440370017874,"2012"
"35",38,0.662232934416302,0.00958919727564751,"2012"
"36",39,0.653337607624914,0.00609975782371722,"2012"
"37",40,0.678139002306713,0.00714689803589321,"2012"
"38",41,0.611751418671249,0.00926945735739348,"2012"
"39",42,0.649335744352298,0.00544902763865622,"2012"
"40",44,0.62907766250159,0.00969574599430119,"2012"
"41",45,0.661188430667063,0.00655354702394597,"2012"
"42",46,0.660627769280008,0.00878004742895217,"2012"
"43",47,0.653859107978327,0.00859794549780148,"2012"
"44",48,0.650637198109597,0.00750151255288658,"2012"
"45",49,0.577896837150452,0.00630627512565038,"2012"
"46",50,0.603118090041333,0.0085987414096508,"2012"
"47",51,0.636125129357296,0.00779711949595805,"2012"
"48",53,0.622499031634509,0.00567630934016267,"2012"
"49",54,0.683055708961189,0.00791295855892132,"2012"
"50",55,0.664314900251754,0.0100832772275327,"2012"
"51",56,0.633415448529787,0.0105214020588134,"2012"
