"","x.state","x.rfbmi5","se"
"1",1,0.702022788223052,0.00804428310183661
"2",2,0.66728182697323,0.0150149585147906
"4",4,0.647611347395685,0.00538185573027731
"5",5,0.704606519914854,0.0119195635923855
"6",6,0.60942140331624,0.00755840171749668
"8",8,0.587306259958434,0.00646166433665706
"9",9,0.632355669106903,0.0072020902201541
"10",10,0.684709078739918,0.0109606007684467
"11",11,0.540388395538734,0.0117498994675206
"12",12,0.640579587510159,0.00805168806855884
"13",13,0.652743458467319,0.00855798673060073
"15",15,0.588023623351978,0.00805127335430411
"16",16,0.658745158700656,0.0100491875719423
"17",17,0.658395255826276,0.00867985905344964
"18",18,0.679749129858146,0.00570257404088823
"19",19,0.701118440206471,0.00669540719583458
"20",20,0.671956163446565,0.00435475610904902
"21",21,0.677823455550575,0.0088091043401517
"22",22,0.699806517207123,0.00921744692344501
"23",23,0.650625191103387,0.00796784012626751
"24",24,0.662011541775539,0.00704747475358757
"25",25,0.61410345466417,0.0101503870446149
"26",26,0.671766170187212,0.00604989838674835
"27",27,0.649373682022688,0.00511187487363375
"28",28,0.698947014673402,0.0103226392412865
"29",29,0.678154534348021,0.00806370098883164
"30",30,0.622254888802383,0.00928830892272579
"31",31,0.690031813886548,0.00626082871749042
"32",32,0.65673290916727,0.0121766888501606
"33",33,0.648801011922849,0.0101943296184612
"34",34,0.625634472778361,0.00840005678521111
"35",35,0.652079492012263,0.00906159972811272
"36",36,0.612884429409442,0.00656618381221752
"37",37,0.669286488914117,0.00938029782020599
"38",38,0.693606234364264,0.00822815862912337
"39",39,0.679802422855585,0.00676771941991816
"40",40,0.706012708342452,0.00784325563510847
"41",41,0.645021116761024,0.00817122650463933
"42",42,0.670993204876602,0.00799776975986081
"44",44,0.648592923297515,0.010133626555796
"45",45,0.680987953488021,0.00667755999554858
"46",46,0.677389431496799,0.0114947346007317
"47",47,0.682708459274803,0.00933039942154112
"48",48,0.694429468879374,0.00928714943027339
"49",49,0.605810249218115,0.00659362092018146
"50",50,0.626442734699927,0.00907429361242247
"51",51,0.663165636559126,0.00746512272435937
"53",53,0.621754742675988,0.00595700853748316
"54",54,0.716636942768471,0.00822000911012922
"55",55,0.673044950324959,0.00918159569365196
"56",56,0.646888616377572,0.00964373878671613
